card_name,issuing_bank,issuing_bank_raw,card_network,categories,joining_fee,annual_fee,fee_waiver_condition,reward_rate,reward_structure,redemption_options,welcome_benefits,milestone_benefits,lounge_access,eligibility,interest_rate_apr,forex_markup,other_charges,key_features,pros,cons,rating,source_site,source_url
IndusInd Bank Multi-Currency Travel Card,IndusInd Bank,Forex Cards,Visa,"[""20+ Best Forex Cards in India 2026"", ""Forex Cards""]",₹300 + GST,N/A,N/A,,,N/A,,,"{""domestic"": ""N/A"", ""international"": ""N/A""}","Since it is a prepaid card, there is no income-based eligibility criteria for IndusInd Bank Multi-Currency Travel Card.",N/A,"No mark-up fee on transactions made in the currency loaded on the card, a cross-currency mark-up of 3.5% of the transaction amount is applicable on transactions made in a currency other than the one loaded on the card",N/A | 1% of the transaction amount and ATM withdrawal fee of USD 2 | N/A,"Can be loaded in 14 different currencies including USD, Euro, Dirham, and many others. Accepted worldwide at all international merchants accepting Visa credit/debit cards. Air accident cover worth Rs. 10 lakh, fraudulent usage cover worth Rs. 2 lakhs, and many other travel-related insurance covers. Discount of up to Rs. 3,000 on experiences, sightseeing and activities on reloading the card. Free airport transfer worth up to Rs. 1,000 and a discount of Rs. 150 on card issuance charge on a minimum currency load equivalent to Rs. 50,000. Can be used for shopping at duty-free stores at international airports across Inida.",[],[],,cardinsider.com,https://cardinsider.com/forex-cards/indusind-bank-multi-currency-travel-card/
Kotak Forex Card,Kotak Mahindra Bank,Forex Cards,Visa,"[""20+ Best Forex Cards in India 2026"", ""Forex Cards""]",₹250 + GST,N/A,N/A,,N/A,N/A,,,"{""domestic"": ""N/A"", ""international"": ""N/A""}",The card can be instantly purchased or loaded at Kotak Mahindra branches by submitting the required documents. It is also available for Indian nationals traveling abroad and foreign nationals residing in India.,N/A,Zero,N/A | USD 2 | N/A,"The card is a prepaid Forex card on the Visa network, making it widely acceptable. It is a secured card with a chip and sends SMS alerts for every transaction.","[""Supports up to 13 different currencies"", ""Easy to reload and is accepted worldwide"", ""24/7 global assistance from Visa"", ""Easily replaceable worldwide"", ""Comes with complimentary insurance benefits""]","[""No reward points on spends made"", ""Currency Exchange markup fee of 3.5%""]",,cardinsider.com,https://cardinsider.com/forex-cards/kotak-forex-card/
MakeMyTrip HDFC Bank ForexPlus Card,HDFC Bank,Forex Cards,,"[""20+ Best Forex Cards in India 2026"", ""Forex Cards""]",Rs. 500 (plus applicable taxes),N/A,N/A,,N/A,N/A,,,"{""domestic"": ""N/A"", ""international"": ""2 lounge access at select international airports across India""}",There are not very strict eligibility criteria that you need to fulfill in order to get the HDFC Bank MakeMyTrip ForexPlus Card. Just keep the following points in mind and go for it: The applicant doesn’t need to be an HDFC Bank customer. HDFC customers as well as non-customers can apply for this card. The applicant should be an Indian resident traveling abroad. The applicant will need to submit the necessary travel documents that are mentioned below.,N/A,"No mark-up fee on transactions made in the currency loaded on the card, a cross-currency mark-up fee of 2% of the transaction amount applicable on transactions made in a currency other than the one loaded on the card",N/A | USD 2 on ATM withdrawals | N/A,"Can be loaded in 22 different currencies including USD, Euro, and UAE Dirham. Complimentary insurance plan including insurance against air/rail/road accident, misuse of card and many other insurance covers. Complimentary lounge access at select international airports across India. Amazon gift voucher worth Rs. 1,500 on loading/reloading the card with a minimum of USD 1,500 (or equivalent). Ola voucher worth Rs. 500 on loading a minimum of USD 1,000 on the card (valid only for the first loading only). Complimentary MMT Black membership- an invite-only loyalty program by MakeMyTrip. Discounts from MakeMyTrip on flight, hotel and holiday package bookings. Issuance fee waiver for customers with a valid MMT international flight/hotel/holiday booking ID. Issuance fee waiver on the minimum first loading of USD 1,000 (or its currency equivalent). Rs. 0.20 cheaper forex rate on loading the card via online channels.",[],[],,cardinsider.com,https://cardinsider.com/forex-cards/makemytrip-hdfc-bank-forexplus-card/
Niyo Global Card by Equitas Bank,Equitas Small Finance Bank,Forex Cards,Visa,"[""20+ Best Forex Cards in India 2026"", ""Forex Cards""]",Nil,Nil,N/A,,N/A,N/A,,,"{""domestic"": ""Yes"", ""international"": ""N/A""}","The eligibility requirements and other criteria for the Niyo Global card are quite simple. You must be an Indian citizen of 18+ years of age with a valid Aadhaar, PAN card, and an Indian Passport to open a Niyo Global digital savings account and get a Niyo Global Card.",Nil,Nil,N/A | Domestic ATM withdrawal charges – 3 free withdrawals per month and Rs. 21 plus taxes from the 4th withdrawal onwardsInternational ATM withdrawal charges – Rs. 110 plus taxes | N/A,Zero forex markup fees on international transactions Load in INR and make international payments in more than 130 currencies Accepted in over 150 countries by all merchants that accept Visa cards Earn up to 7% interest rate p.a. on your savings User-friendly mobile app with global ATM Locator and Currency Converter tool to check live forex rates Complimentary airport lounge access at international terminals in India Real-time security and card balance updates Get 2500 Niyo Coins worth ₹250 as bonus for every successful referral of the Niyo Global card,[],[],,cardinsider.com,https://cardinsider.com/forex-cards/niyo-global-card/
Standard Chartered Multi-Currency VISA Forex Card,Standard Chartered,Forex Cards,Visa,"[""20+ Best Forex Cards in India 2026"", ""Forex Cards""]",₹299 + GST (One Time Issuance Fee),N/A,N/A,,Reward Points,N/A,,,"{""domestic"": ""N/A"", ""international"": ""N/A""}","The eligibility criteria for obtaining a Forex card are more relaxed than those for credit cards. Keep the following points in mind if you are interested in getting this card: Should be an Indian Citizen traveling abroad. Should have a copy of a valid passport. Travel proof includes a visa, flight tickets, or any relevant travel proof.",Nil,3.5% of the transaction value,Nil | Nil | Nil,This card has only one-time joining fees. You can load currencies of 20 different countries with this Multi-Currency Forex card.,[],[],,cardinsider.com,https://cardinsider.com/forex-cards/standard-chartered-multi-currency-visa-forex-card/
State Bank Multi-Currency Foreign Travel Card,SBI Card,Forex Cards,Mastercard,"[""20+ Best Forex Cards in India 2026"", ""Forex Cards""]",Rs. 100 (plus applicable taxes),N/A,N/A,,,N/A,,,"{""domestic"": ""N/A"", ""international"": ""N/A""}",,N/A,Cross currency usage fee of 3% of the transaction amount on transactions made in a currency other than the one loaded on the card,N/A | USD 1.75 on every transaction (or its currency equivalent) | N/A,Can be loaded in 7 widely accepted currencies including USD and EUR. Accepted at all international retail outlets and online portals accepting MasterCard credit/debit cards. Card reloadable at any of the FTC (Foreign Travel Card) issuing branches. Chip and PIN Card with support for contactless payments. No foreign currency mark-up fee on transactions made in the currency loaded on the card.,[],[],,cardinsider.com,https://cardinsider.com/forex-cards/state-bank-multi-currency-foreign-travel-card/
Tata Neu IndusInd Bank Forex Card,IndusInd Bank,Forex Cards,Visa,"[""20+ Best Forex Cards in India 2026"", ""Forex Cards""]",₹299 + GST,N/A,N/A,,,N/A,,,"{""domestic"": ""N/A"", ""international"": ""N/A""}",,N/A,3.50%,N/A | N/A | N/A,Can be loaded in upto 14 currencies The card offers global acceptance It is easy to load or reload the card online,"[""Load up to 14 different currencies on a single card, making it ideal for multi-country trips."", ""It comes with chip technology, OTP-based access, and 24/7 customer support to block the card in case of loss or theft."", ""Includes insurance for fraudulent charges, baggage loss, passport loss, and even air accident coverage.""]","[""A quarterly inactivity fee of ₹250 (after 18 months of non-use) may apply, which could be a drawback for infrequent travelers."", ""Every reload and card re-issuance incurs additional charges (₹99 + GST), increasing costs over time.""]",,cardinsider.com,https://cardinsider.com/forex-cards/tata-neu-indusind-bank-forex-card/
TripMoney Global Cash Card,TripMoney (Yes Bank),Forex Cards,Visa,"[""Forex Cards""]",Nil,Nil,NA,,,NA,"Cardholders get MMT or MakeMyTrip Black Membership, discount coupon over Rs. 7,000 on the MMT app, etc. upon activating the card successfully.",,"{""domestic"": ""NA"", ""international"": ""NA""}",,Nil,NA,NA | NA | Nil,"MMT or MakeMyTrip Black Membership, discount coupon over Rs. 7,000 on the MMT app, etc. TripMoney Global Cash Card is a lifetime free credit card 0% foreign markup fee, only Visa exchange rates are applicable No balance inquiry fee in the application No charges to load money No extra hidden charges Easily load INR and further withdraw or use for domestic and international transactions Accepted on all POS and ATMs in over 150 countries across the globe Digitalised control over your expenses and transactions of the Visa-powered card",[],[],,cardinsider.com,https://cardinsider.com/forex-cards/tripmoney-global-cash-card/
Yes Bank Multicurrency Travel Card,Yes Bank,Forex Cards,"Visa, Mastercard","[""20+ Best Forex Cards in India 2026"", ""Forex Cards""]",Rs. 125 plus taxes,Rs. 125 plus taxes,N/A,,N/A,N/A,,,"{""domestic"": ""N/A"", ""international"": ""N/A""}",,N/A,2.75% of the transaction value,N/A | 2% of the transaction value | Nil,Contactless-enabled forex card with PIN and CHIP protection to save from unauthorized transactions Carry up to 15 currencies in the card and use for payment at more than 36 million merchants globally Reload the card remotely through Yes Bank branches Manage the card easily through Yes Pay mobile app and Self Care web portal Disable/enable and set or modify transaction limits on different modes Refund unused foreign currency balance to your account easily Email and SMS alerts for both financial as well as non-financial transactions,[],[],,cardinsider.com,https://cardinsider.com/forex-cards/yes-bank-multicurrency-travel-card/
6E Rewards – IndiGo HDFC Bank Credit Card,HDFC Bank,Best HDFC Bank,,"[""Best HDFC Bank"", ""Best HDFC Bank Credit Cards""]",₹500 + GST,₹500 + GST,N/A,,Air Miles,The 6E rewards you earn using your 6E Rewards IndiGo HDFC Credit Card can be redeemed through the 6E rewards portal. 1 6E Reward = Re. 1.,,,"{""domestic"": ""N/A"", ""international"": ""N/A""}",,3.75% Per Month (45% Annually),3.50%,No Waiver Applicable | 2.5% of the amount withdrawn subject to a minimum charge of Rs. 500 | ₹200 + GST,"Get 2.5% 6E Rewards on IndiGo ticket bookings using your 6E Rewards IndiGo HDFC Credit Card. Get 2% 6E Rewards on Dining, Groceries, and Entertainment, and 1% 6E Rewards on every other spend. Welcome benefits of 1 complimentary 6E Prime Add-on. Get 1 complimentary IndiGo air ticket of ₹1,500 on making three or more transactions in each of the first 3 months after your card set-up date.","[""You would get a complimentary IndiGo ticket voucher worth ₹1,500."", ""This card even offers rewards on fuel transactions.""]","[""Unfortunately, this card does not offer any complimentary access to domestic or international lounges."", ""While this credit card offers rewards on fuel purchases, it does not provide a waiver for fuel surcharges, making it less beneficial.""]",,cardinsider.com,https://cardinsider.com/hdfc-bank/6e-rewards-indigo-hdfc-bank-credit-card/
6E Rewards XL – IndiGo HDFC Bank Credit Card,HDFC Bank,Best HDFC Bank,Mastercard,"[""Best HDFC Bank"", ""Best HDFC Bank Credit Cards""]","₹1,500 + GST","₹1,500 + GST",N/A,,Air Miles,The IndiGo 6E rewards are redeemable for 6E Rewards’ Benefits including IndiGo flight tickets (1 6E Reward Point = Re. 1).,,,"{""domestic"": ""8 Domestic Lounge Visits Annually (Max 2 Each Quarter) for Both Primary and Add-On Cardholders"", ""international"": ""N/A""}",The eligibility criteria with respect to the age and income for the 6E Rewards XL HDFC Credit Card have been explained below:,3.75% Per Month (45% Annually),2.50%,"N/A | 2.5% of the Withdrawn Amount or ₹500, Whichever is Higher | Nil","1 Complimentary 6E Prime Add-On as a Welcome Benefit (Priority check-in, choice of seat, a complimentary meal & quicker baggage). A complimentary IndiGo air ticket worth Rs. 3,000 on making three or more purchases every 3 months after card activation (provided that the annual fee of Rs. 2,500 is realized). IndiGo 6E Rewards as Reward Points. IndiGo 6E Rewards- up to 5% on IndiGo, 3% on dining, grocery, and entertainment, and 2% on all other spends. 8 Complimentary Domestic Lounge Access per calendar year (2 per quarter) under the MasterCard Lounge Program.","[""You get 8 complimentary domestic airport lounge visits with this card. This applies to both international and domestic terminals at airports within the country."", ""A complimentary ticket worth ₹3,000 as a welcome benefit.""]","[""This card does not offer travel insurance benefits."", ""You won’t get access to any international airport lounges with the 6E Rewards XL IndiGo HDFC Bank Credit Card.""]",,cardinsider.com,https://cardinsider.com/hdfc-bank/6e-rewards-xl-indigo-hdfc-bank-credit-card/
HDFC Bank Harley Davidson Diners Club Credit Card,HDFC Bank,Best HDFC Bank,"Diners Club, Diners","[""Best HDFC Bank"", ""Best HDFC Bank Credit Cards""]","Rs. 2,500 + GST","Rs. 2,500 + GST",Renewal Fee Waived on Spends of ₹3 Lakh,,Reward Points,Redeem on Smartbuy or Netbanking. Value of 1 RP Up to ₹0.50 (₹0.20 for Cash Redemption),,,"{""domestic"": ""2 Visits Each Quarter"", ""international"": ""2 Visits Each Quarter""}","It is always best to check the eligibility requirements of a credit card before applying for it. Once you have gone through the eligibility criteria, you can apply for the card only if you meet the requirements. Applying for a card that is not within your income range may have a negative impact on your credit score in the future.",3.60% (Monthly) and 43.20% (Yearly),3.50%,Maximum Waiver Capped at ₹500 (Each Billing Cycle) | 2.5% of the Total Amount | ₹99 + GST,This card provides special benefits to Harley Davidson enthusiasts. Add-on and primary card holders can access international and domestic lounges for a limited number of times without any additional costs. Customers can enjoy various benefits at different milestones throughout the year. These benefits are available on a quarterly and yearly basis. Get 2 free movie tickets each month with the BOGO offers on this credit card.,"[""Free airport lounge access is provided for both primary and add-on cardholders."", ""This card offers great benefits when it comes to movies and food.""]","[""Since this card is centered around Harley Davidson, it should have offered more benefits like accelerated Reward Points for purchases made at the motorcycle store."", ""No reward points are offered on fuel.""]",,cardinsider.com,https://cardinsider.com/hdfc-bank/harley-davidson-diners-club-credit-card/
HDFC Bank All Miles Credit Card,HDFC Bank,Best HDFC Bank,,"[""Best HDFC Bank"", ""Best HDFC Bank Credit Cards""]","Rs. 1,000 + GST","Rs. 1,000 + GST","The joining fee is waived off on spending Rs. 15,000 or more within the first 90 days and the renewal fee is waived off if a minimum of Rs. 1 lakh were spent in the previous year",,Reward Points,The Reward Points you earn can be redeemed against various options from the HDFC Rewards catalog.,,,"{""domestic"": ""N/A"", ""international"": ""NA""}","For salaried employees, the eligible age to apply for this card is 21 years to 60 years. For self-employed individuals, the eligible age to apply for this card is 21 years to 65 years.",3.6% per month (or 43.2% per annum),3.5% on all foreign currency spends (plus applicable taxes),"1% fuel surcharge waiver on all fuel transactions above Rs. 400 (max waiver capped at Rs. 500) | 2.5% of the amount withdrawn, subject to a minimum charge of Rs. 500 | Rs. 99 on every redemption request (plus applicable taxes)","You get 3 Reward Points for every Rs. 150 you spend using your HDFC Bank All Miles Credit Card. You get 2x Reward Points on every spend of Rs. 150 on shopping, mobile recharge, or hotel bookings. Spend Rs. 15,000 in 3 months and get your joining fee waived off. Spend Rs. 1 lakh or more in one year and get your renewal fee waived off. Get a 1% fuel surcharge waiver.",[],[],,cardinsider.com,https://cardinsider.com/hdfc-bank/hdfc-bank-all-miles-credit-card/
HDFC Bank Diners Club Black Credit Card,HDFC Bank,Best HDFC Bank,"Diners Club, Diners","[""Best HDFC Bank"", ""Best HDFC Bank Credit Cards""]","₹10,000 + GST","₹10,000 + GST","Waiver of renewal fee on spending Rs. 5,00,000 in the previous year.",,Reward Points,"Redeem Points for Flight/Hotel Bookings, Against Cash, or Convert Them to Airmiles",,"Renewal of the subscriptions under the welcome benefits (Amazon Prime, Times Prime. etc.) on the annual expenditure of Rs. 8,00,000. Any 2 of the following monthly vouchers- Ola, cult.fit, BookMyShow, and TATA CLiQ (worth Rs. 500 each) on monthly spends of Rs. 80,000.","{""domestic"": ""Unlimited complimentary access to the domestic lounges"", ""international"": ""Unlimited complimentary access to the international lounges""}",,1.99% per month (or 23.88% annually),2% + GST,"1% fuel surcharge waived (max waiver capped at Rs. 1,000/month and min transaction of  Rs. 400 required). | Higher of 2.5% of the amount withdrawn or Rs. 500. | Nil","Complimentary annual membership of subscription platforms like Amazon Prime, Times Prime, etc, as a Welcome Benefit. These memberships are renewed at the expense of Rs. 8,00,000 in the anniversary year with the HDFC Bank Diners Club Black credit card. Complimentary Ola Select, TataCliQ, BookMyShow, and cult.fit, vouchers on spends of over Rs. 80,000 every month. 5 Reward Points for every Rs. 150 spent (Reward Rate = 3.3%). 10X Reward Points on select brands. 2X Reward Points on weekend dining. 6 complimentary golf games per quarter at some of the most premium golf destinations around the world. Low foreign currency markup fee of 2%. Unlimited lounge access at 1,000 plus airport lounges in India and abroad. Travel insurance benefits including an air accident cover worth Rs. 2 crore.",[],[],,cardinsider.com,https://cardinsider.com/hdfc-bank/hdfc-bank-diners-club-black-credit-card/
HDFC Bank Diners Club Black Metal Edition Credit Card,HDFC Bank,Best HDFC Bank,"Diners Club, Diners","[""10+ Best Rewards Credit Cards in India 2026"", ""20+ Best Travel Credit Cards"", ""Accor Live Limitless Reward Points – Best Ways to Earn & Redeem Your Points"", ""Best Credit Cards To Earn Club Vistara Points India"", ""Best Credit Cards for Club ITC Points/ITC Culinaire Membership"", ""Best Credit Cards for Free Domestic Airport Lounge Access"", ""Best Credit Cards for Free International Airport Lounge Access"", ""Best Credit Cards for IHG Hotels and Resorts in India"", ""Best Credit Cards for International Travel 2026"", ""Best Credit Cards for United Airlines MileagePlus Miles"", ""Best Credit Cards in India to Earn Etihad Guest Miles"", ""Best Credit Cards to Earn Turkish Miles & Smiles"", ""Best Credit Cards with Concierge Services"", ""Best Golf Credit Cards in India"", ""Best HDFC Bank"", ""Best HDFC Bank Credit Cards"", ""Best Hotel Credit Cards"", ""Best Low Interest Credit Cards 2026"", ""Top 20 Best Credit Cards in India 2026""]","₹10,000 + GST","₹10,000 + GST",Spends ₹8 Lakh in a Year to Waive Renewal Fee,,Reward Points,Redeem Rewards on SmartBuy or for Airmiles and Cashback,,"Receive a fantastic bonus of 10,000 Reward Points after spending Rs. 4 lakh in a quarter. The Reward Points shall be credited within ten days from the start of the next quarter. Please note a calendar quarter to be eligible for milestone benefit is termed as follows – January to March, April to June, July to September and October to December.","{""domestic"": ""Unlimited Complimentary Domestic Lounge Visits Across India"", ""international"": ""Unlimited Complimentary International Lounge Visits Across the World""}","You would need to fulfil the following criteria to be eligible for a Diners Club Black Metal Credit Card- Must be a citizen of India, Salaried individuals must have a monthly income greater than Rs. 1.75 lakh, and the age must be between 21 and 60 years. Self-employed individuals must have an annual income greater than Rs. 21 lakh, and the age must be between 21 and 65 years.",1.99% Monthly & 23.88% Annually,2% of Transaction Amount,N/A | 2.5% of the Total Amount or Rs. 500 (Whichever is Higher) | N/A,"This is a metal credit card. The joining fee is Rs. 10,000 plus taxes. 5 Reward Points on spends of Rs. 150. Complimentary Swiggy One, Club Marriott and Amazon Prime membership. Unlimited lounge access. 24 complimentary golf games in a year.","[""Unlimited international and lounge access for primary and add-on card holders."", ""6 complimentary golf games each quarter.""]","[""The joining fee is Rs. 10,000, which might be high for some individuals."", ""The renewal fee can be waived by spending Rs. 8 lakh in a card anniversary year. This amount might not be achieved by some people.""]",,cardinsider.com,https://cardinsider.com/hdfc-bank/hdfc-bank-diners-club-black-metal-edition-credit-card/
HDFC Bank Diners Club Miles Credit Card,HDFC Bank,Best HDFC Bank,"Diners Club, Diners","[""Best HDFC Bank"", ""Best HDFC Bank Credit Cards""]","Rs. 1,000 + GST","Rs. 1,000 + GST",The annual fee can be waived on spending Rs. 1 Lakh.,,Reward Points,"1 Reward Points = 1 Airmile, 1 RP = Re. 0.50 when redeemed against flight or hotel bookings on SmartBuy, 1 RP = Re. 0.35 for products/vouchers, and 1 RP = Re. 0.20 for cashback.",,,"{""domestic"": ""Up to 6 complimentary access to domestic lounges annually"", ""international"": ""Up to 6 complimentary access to international lounges annually.""}",The HDFC Bank Diners Club Miles Credit Card holds some basic eligibility criteria that have to be fulfilled: The applicant should be a resident of India and must be between 21-65 years of age. The credit score or credit history should be preferably above 700.,3.6% per month (or 43.2% per annum),3.00% of the total transaction value (plus applicable taxes),1% of Fuel Surcharge Waiver (waiver capped at Rs. 250 per billing cycle) at fuel stations all over India. | 2.5% of the total transaction amount (Minimum Rs. 500) | Rs. 99 per redemption request (plus applicable taxes),"HDFC Bank Diners Club Miles is offered at Rs. 1,000 + taxes. Earn 1,000 Reward Points on paying the Annual Joining Fee. Earn 4 Reward Points per Rs. 150 you retail spends and other purchases. Get 15% discounts and offers on Fine Dining and restaurants. Complimentary Airport Lounge access worldwide. Concierge benefits to cater to all your travel needs. Air Accidental Insurance worth Rs. 1 Crore. Credit Liability protection up to Rs. 9 Lakhs. 1% Fuel Surcharge Waiver at all fuel stations in India. Earn 1,000 bonus RPs on paying of annual fee.",[],[],,cardinsider.com,https://cardinsider.com/hdfc-bank/hdfc-bank-diners-club-miles-credit-card/
HDFC Bank Diners Club Premium Credit Card,HDFC Bank,Best HDFC Bank,"Diners Club, Diners","[""Best HDFC Bank"", ""Best HDFC Bank Credit Cards""]","Rs. 2,500 + GST","Rs. 2,500 + GST",Renewal fee waived off for this card on spending over Rs. 3 lakhs within one anniversary year,,Reward Points,"You can redeem reward points against air tickets, and for AirMiles across Singapore Airlines, Air India, and Jet Airways at a rate of 1 RP = 0.50 Air Miles. 1 RP = Rs. 0.50 for redemption against Flight/Hotel bookings through Smartbuy, 1 RP = up to Rs. 0.35 for redemption against products & vouchers, and 1 RP = Rs. 0.20 for CashBack",,,"{""domestic"": ""Up to 6 domestic airport lounge access every year"", ""international"": ""Up to 6 international airport lounge access every year""}","The basic eligibility criteria that you will have to fulfill in order to get approved for the HDFc Bank Diners Premium Credit card are given in the table below. However, the bank can have some internal criteria as well.",3.6% per month (or 43.2% annually),2% on all foreign currency transactions (plus applicable taxes),"1% fuel surcharge waived off on all fuel transactions between Rs. 400 to Rs. 5,000 | 2.5% of the cash amount withdrawn or Rs. 500 (whichever is higher) | Rs. 99 (plus applicable taxes)","Get a welcome benefit of 2,500 bonus Reward Points. Get 4 Reward Points for every Rs. 150 spent on retail purchases using your HDFC Diners Club Premium Card. Cardholders can redeem reward points against flight/hotel bookings across 150+ airlines. Up to 6 complimentary lounge access every year to over 1,000 airport lounges all across the world. Exclusive insurance benefits. 1% fuel surcharge waiver. Get your renewal fee waived on the basis of your spends.","[""Get 6 complimentary access to more than 1000 lounges worldwide"", ""Renewal fee waiver on spending Rs. 3 Lakhs in the year"", ""Cross-currency conversion charges are low and 2% forex markup fee""]","[""No complimentary movie ticket, entertainment, and dining offers"", ""No cashback on your spends made with the card"", ""Reward rate could have been a bit better""]",,cardinsider.com,https://cardinsider.com/hdfc-bank/hdfc-bank-diners-club-premium-credit-card/
HDFC Bank Diners Club Rewardz Credit Card,HDFC Bank,Best HDFC Bank,"Diners Club, Diners","[""Best HDFC Bank"", ""Best HDFC Bank Credit Cards""]","Rs. 1,000 + GST","Rs. 1,000 + GST",Renewal fee waived off on spending Rs. 1 lakh or more in the previous year.,,Reward Points,"For redemption against flight/hotel bookings on SmartBuy, 1 Reward Point = Rs. 0.30, 1 Reward Point = 0.30 Airmiles, 1 Reward Point = up to Rs. 0.25 for redemption against product catalogue, 1 Reward Point = Rs. 0.15 for redemption against cashback.",,,"{""domestic"": ""N/A"", ""international"": ""N/A""}",,3.6% per month (43.2% annually),3% (plus applicable taxes),"1% fuel surcharge waived off for all transactions between Rs. 400 & Rs. 5,000. | 2.5% of the amount transacted or a minimum of Rs. 500. | Rs. 99 on every redemption request (plus applicable taxes)","Get 3 Reward Points on every Rs. 150 you spend. Get 10x Reward Points on shopping through partner brands. Get  upto 5% cashback for spends via SmartBuy. Get 1000 bonus Reward Points as a welcome gift from the HDFC Diners Club Rewardz Credit Card. Redeem your earned Reward Points against flight/hotel bookings, Air Miles, or several other products. Renewal Bonus of 1000 Reward Points every year. Get your renewal fee waived off based on your spends. Get a 1% fuel surcharge waiver. Get 24*7 concierge services.","[""Double reward points on grocery, airline, and dining spends"", ""3 RPs per Rs. 150 spent and up to 3x reward points for spends at partner brands"", ""Complimentary 24×7 concierge service""]","[""No cashback earned on spends"", ""No complimentary airport lounge access with the card"", ""No complimentary movie ticket offers""]",,cardinsider.com,https://cardinsider.com/hdfc-bank/hdfc-bank-diners-club-rewardz-credit-card/
HDFC Bank Easy EMI Credit Card,HDFC Bank,Best HDFC Bank,,"[""Best HDFC Bank"", ""Best HDFC Bank Credit Cards""]",Rs. 500 + GST,Rs. 500 + GST,"The joining fee is waived off on spending Rs. 20,000 or more within the first 90 days after receiving the card. Renewal fee waived off on spending Rs. 50,000 or more in the previous year.",,Reward Points,"1 CashPoint = Re. 1 for redemption against cash and product/vouchers, 1 CashPoint = Rs. 0.30 for redemption against flight/hotel bookings.",,,"{""domestic"": ""N/A"", ""international"": ""N/A""}",,3.6% per month (43.2% per annum),3.5% on all foreign currency transactions (plus applicable taxes),"1% fuel surcharge is waived off for all fuel transactions between Rs. 400 and Rs. 5,000 (maximum benefit of Rs. 250 in a month). | 2.5% of the amount transacted or Rs. 500 (whichever is higher) | Rs. 99 (plus applicable taxes)","A welcome bonus of 500 CashPoints. A cashback of 5% on Amazon, Flipkart, Hotel, and Flight bookings on shopping through Payzapp using your HDFC Bank Easy EMI Credit Card. A cashback of 2.5% on all online purchases and 1% cashback on offline purchases. All the spends of Rs. 10,000 or above are automatically converted to Easy EMI. Spend-based waiver of joining fee and renewal fee. 1% fuel surcharge waiver. Gift vouchers worth Rs. 1,000 on spending Rs. 1,00,000 or more in one calendar quarter.",[],[],,cardinsider.com,https://cardinsider.com/hdfc-bank/hdfc-bank-easy-emi-credit-card/
HDFC Bank INFINIA Metal Credit Card,HDFC Bank,Best HDFC Bank,,"[""10+ Best Rewards Credit Cards in India 2026"", ""20+ Best Travel Credit Cards"", ""Accor Live Limitless Reward Points – Best Ways to Earn & Redeem Your Points"", ""Best Credit Cards for Air India Maharaja Club"", ""Best Credit Cards for Club ITC Points/ITC Culinaire Membership"", ""Best Credit Cards for Free International Airport Lounge Access"", ""Best Credit Cards for IHG Hotels and Resorts in India"", ""Best Credit Cards for Jewellery Spends"", ""Best Credit Cards for United Airlines MileagePlus Miles"", ""Best Credit Cards in India for Qatar Airways Privilege Club (Avios)"", ""Best Credit Cards to Earn KrisFlyer Miles"", ""Best Credit Cards to Earn Turkish Miles & Smiles"", ""Best Credit Cards with Concierge Services"", ""Best Golf Credit Cards in India"", ""Best HDFC Bank"", ""Best HDFC Bank Credit Cards"", ""Best Hotel Credit Cards"", ""Best ICICI Bank Credit Cards"", ""Best Low Interest Credit Cards 2026"", ""Top 20 Best Credit Cards in India 2026""]","₹12,500 + GST","₹12,500 + GST",Renewal Fee Waived on Spends of ₹10 Lakh,,Reward Points,"RPs can be redeemed for flight and hotel bookings via SmartBuy (1 RP = Re. 1), Airmiles through net banking (1 RP = 1 Airmile), products and vouchers via net banking or SmartBuy (1 RP = Rs. 0.50), Apple and Tanishq vouchers (1 RP = Re. 1) cashback (1 RP = Rs. 0.30)",,,"{""domestic"": ""Unlimited Free Domestic Airport Lounge Access"", ""international"": ""Unlimited Complimentary International Lounge Access for Primary and Add-On Cardholders Across the Globe with a Priority Pass""}","The Infinia Credit Card is an invite-only offering, so there are no fixed eligibility criteria to apply. However, starting April 2026, cardholders will need to meet certain conditions to continue holding the card. Effective 1st April 2026, continued access to the Infinia program will be linked to either a minimum annual spend or relationship value: Annual Spend Requirement: ₹18 lakh (including primary and add-on cards) OR Relationship Value: ₹50 lakh. The Relationship Value (RLV) is calculated as the combined average monthly balance across your savings, current, fixed deposit, and recurring deposit accounts with the bank. The financial year for this evaluation will be considered from 1st April to 31st March of the following year.",1.99% Per Month or 23.8% Annualized,2% + GST (~2.36%),"1% Fuel Surcharge Waiver (Up to ₹1,000 Each Statement Cycle) | Nil | Nil","1 year complimentary Club Marriott membership. 12,500 Reward Points as an introductory benefit. Unlimited access to airport lounges across the globe for both primary and add-on cardholders. Get 5 Reward Points on every Rs. 150 spent (except fuel transactions) with your HDFC Bank Infinia Card. 24×7 global concierge service. Unlimited golf games at leading golf destinations in India and abroad. 1+1 complimentary buffet on weekends at participating ITC hotels. 2+1 complimentary night stay at participating ITC hotels. Spend-based waiver annual membership fee.","[""Unlimited lounge access at domestic and select foreign airports."", ""Unlimited complimentary golf games at premier golf courses.""]","[""Infinia Credit Card is a highly rewarding card that benefits everyone. Although it is considered to be the ultimate card, only those who fulfill the strict eligibility criteria can get it. This can be termed the only drawback of this card.""]",,cardinsider.com,https://cardinsider.com/hdfc-bank/hdfc-bank-infinia-credit-card/
